Date,Open,High,Low,Close,Adj Close,Volume
2000-10-11,172500,173000,160500,161000,141224.2031,2072100
2000-10-12,157000,164000,157000,157000,137715.5469,1590700
2000-10-13,150000,154500,141500,151500,132891.1094,2305900
2000-10-17,149000,154000,136500,137000,120172.1484,1306000
2000-10-18,127000,138000,121000,136500,119733.5469,3284300
2000-10-19,136500,152500,134500,145000,127189.5313,2754400
2000-10-20,162000,166500,159500,166500,146048.6875,2376500
2000-10-23,174500,176000,158000,160000,140347.0469,2799200
2000-10-24,159000,171000,155000,167000,146487.25,1942300
2000-10-25,160000,163000,156500,160500,140785.6563,1374600
2000-10-26,146500,151500,137000,144500,126750.9297,2665800
2000-10-30,140000,144000,136000,137500,120610.75,736600
2000-10-31,137500,142500,131500,142500,124996.6094,1263800
2000-11-01,150000,163500,148000,163000,142978.5469,1883300
2000-11-02,160000,171500,158500,166000,145610.0938,2463600
2000-11-03,171000,173500,168500,172000,150873.125,1608400
2000-11-06,173000,183500,169000,175500,153943.1719,1437300
2000-11-07,173000,177500,169000,172000,150873.125,1074800
2000-11-08,170000,173000,164000,170500,149557.3594,1164300
2000-11-09,165000,171500,163000,170000,149118.75,1046100
2000-11-10,168000,172000,166000,169000,148241.5781,702800
2000-11-13,161000,163000,155000,157500,138154.1094,1021400
2000-11-14,160500,166000,160500,164500,144294.2969,635100
2000-11-15,172500,173000,166000,169500,148680.125,1114400
2000-11-16,170000,171000,162500,164000,143855.75,748400
2000-11-17,159000,161500,157500,161000,141224.2031,724500
2000-11-20,158000,160500,155000,155000,135961.2188,535900
2000-11-21,154000,158500,148500,158000,138592.7031,1032400
2000-11-22,155000,161000,154000,157000,137715.5469,754200
2000-11-23,157000,163000,157000,160500,140785.6563,892900
2000-11-24,165500,170000,163500,170000,149118.75,910600
2000-11-27,180000,190000,178500,189000,165784.9375,2004400
2000-11-28,182500,182500,175000,176000,154381.7969,1195400
2000-11-29,165000,167500,160000,161000,141224.2031,1086000
2000-11-30,161000,164500,157500,162000,142101.4219,1266300
2000-12-01,154000,161000,152000,159000,139469.9063,1928500
2000-12-04,161000,162500,154000,155000,135961.2188,1037500
2000-12-05,158000,162500,156000,162000,142101.4219,1168000
2000-12-06,170500,171500,160500,160500,140785.6563,1917800
2000-12-07,160500,163000,158000,163000,142978.5469,860400
2000-12-08,163000,169500,163000,168500,147802.9688,951500
2000-12-11,174000,181500,174000,179000,157013.25,1411500
2000-12-12,179000,182500,175000,175000,153504.5938,1474900
2000-12-13,175000,189000,175000,189000,165784.9375,1682800
2000-12-14,181000,184000,178000,181000,158767.6094,1339300
2000-12-15,181000,182000,174000,174500,153066.0156,1059200
2000-12-18,175000,179500,174500,178000,156136.1094,687000
2000-12-19,178000,178500,175500,176500,154820.3281,508900
2000-12-20,171000,172500,166000,167000,146487.25,1073500
2000-12-21,156000,165000,153500,162000,142101.4219,1532500
2000-12-22,162000,165000,156500,157000,137715.5469,1275200
2000-12-26,161500,162000,158000,158000,138592.7031,1208600
2001-01-02,158000,169000,157000,167500,146925.8281,789100
2001-01-03,161500,171000,161000,168500,147802.9688,757100
2001-01-04,189500,193500,183000,189000,165784.9375,2398200
2001-01-05,188000,196000,185000,195000,171047.9531,1562700
2001-01-08,191000,195500,189000,194000,170170.7656,845900
2001-01-09,191500,193000,185500,192000,168416.4688,925600
2001-01-10,189000,190500,185000,185500,162714.875,824700
2001-01-11,189500,189500,182000,182000,159644.7656,628200
2001-01-12,190000,194500,188500,192000,168416.4688,1058000
2001-01-15,193000,201000,192000,196000,171925.125,1029200
2001-01-16,198000,210000,192500,207000,181574,1041300
2001-01-17,203000,212000,203000,211000,185082.6875,1051400
2001-01-18,212000,226500,212000,220000,192977.1875,1153700
2001-01-19,235000,235000,226000,230000,201748.8906,1084900
2001-01-22,230000,230000,223500,227500,199555.9531,845000
2001-01-26,222500,224000,198500,199000,174556.6406,1820500
2001-01-29,200000,205000,198000,201000,176310.9688,944900
2001-01-30,205000,208500,203500,205500,180258.25,787000
2001-01-31,204500,220000,204500,220000,192977.1875,1060900
2001-02-01,213500,221000,209500,213500,187275.625,794600
2001-02-02,214500,219500,211000,214500,188152.75,546600
2001-02-05,208500,210000,199500,201500,176749.5781,942700
2001-02-06,199000,201000,195500,200500,175872.4375,630900
2001-02-07,198000,199500,195000,195000,171047.9531,462600
2001-02-08,196000,203000,194500,203000,178065.3281,693700
2001-02-09,202000,205000,199000,203500,178503.9063,504600
2001-02-12,192000,202500,192000,198500,174118.0156,722200
2001-02-13,202000,205000,198500,199000,174556.6406,445900
2001-02-14,196000,202000,195000,199000,174556.6406,394200
2001-02-15,210000,210500,205000,206500,181135.4219,698600
2001-02-16,207500,215500,206500,212500,186398.4531,927500
2001-02-19,209000,210500,205000,209500,183766.9063,457600
2001-02-20,209500,214000,209000,212000,185959.8594,363500
2001-02-21,208000,210000,207000,208000,182451.1406,390000
2001-02-22,204000,205000,197000,200500,175872.4375,872100
2001-02-23,196000,198500,191500,192000,168416.4688,1537100
2001-02-26,192500,193000,189000,192000,168416.4688,713300
2001-02-27,192000,197000,189500,189500,166223.6094,773900
2001-02-28,185000,189000,185000,187000,164030.6406,574300
2001-03-02,185000,185000,179000,180500,158329.0469,890000
2001-03-05,176500,186000,176500,186000,163153.4531,492400
2001-03-06,191000,192500,188000,190000,166662.125,510000
2001-03-07,198000,200500,195000,200000,175433.8438,1052800
2001-03-08,197500,200500,195500,200500,175872.4375,627200
2001-03-09,197000,197000,191000,192000,168416.4688,616000
2001-03-12,185000,188000,182500,183500,160960.5156,772200
2001-03-13,178500,182500,177000,182000,159644.7656,676300
2001-03-15,189500,196500,188000,196000,171925.125,587400
2001-03-16,194000,196000,191500,194500,170609.3906,466300
2001-03-19,190500,194000,188500,190000,166662.125,497300
2001-03-20,195000,196000,191000,191000,167539.2813,429100
2001-03-21,186000,195000,185000,193500,169732.25,811000
2001-03-22,199000,199500,196000,199000,174556.6406,749300
2001-03-23,204500,218500,204000,215000,188591.3906,1835100
2001-03-26,220000,221500,217000,217000,190345.6719,857400
2001-03-27,215000,215500,206000,207500,182012.5625,626900
2001-03-28,213000,213000,207500,207500,182012.5625,521500
2001-03-29,204500,209000,202000,204500,179381.0469,598400
2001-03-30,205500,208500,202000,208000,182451.1406,602000
2001-04-02,202000,205000,198000,199500,174995.2813,782800
2001-04-03,190500,193500,189500,190000,166662.125,921400
2001-04-04,185000,187000,181500,183000,160521.9531,1245600
2001-04-06,198000,198000,189000,192000,168416.4688,1705800
2001-04-09,189500,190500,185500,185500,162714.875,516800
2001-04-10,185500,187000,180500,182000,159644.7656,783500
2001-04-11,189000,190000,186000,186000,163153.4531,890300
2001-04-12,197000,204500,195000,200500,175872.4375,1473200
2001-04-13,205000,207500,201500,203000,178065.3281,776800
2001-04-16,203000,204000,197000,197000,172802.2813,204000
2001-04-17,196000,201000,192500,198500,174118.0156,336300
2001-04-18,205500,214000,203500,214000,187714.1719,955800
2001-04-19,231000,246000,229000,235000,206134.7656,2626100
2001-04-20,236000,239000,224500,224500,196924.4531,898100
2001-04-23,224500,230500,223500,227000,199117.375,635700
2001-04-24,220500,221000,216500,220000,192977.1875,623700
2001-04-25,217000,226000,216000,226000,198240.2188,526900
2001-04-26,217000,226000,216000,226000,198240.2188,526900
2001-04-27,220500,222500,215500,217000,190345.6719,433900
2001-04-30,223000,231000,220500,229000,200871.7031,764500
2001-05-02,235000,235000,227000,229000,200871.7031,730200
2001-05-03,231000,231000,224500,230000,201748.8906,517900
2001-05-04,220500,225500,220500,223000,195608.6875,656100
2001-05-07,225000,231500,224000,230000,201748.8906,358900
2001-05-08,229500,231000,226000,229500,201310.3125,336500
2001-05-09,228000,229000,224500,225000,197363.0469,413900
2001-05-10,225000,228000,222000,225000,197363.0469,492400
2001-05-11,223000,223500,220000,220500,193415.7656,554100
2001-05-14,221000,223000,220000,221500,194292.9375,286200
2001-05-15,220500,222500,214500,217000,190345.6719,528400
2001-05-16,215000,218500,210000,210500,184644.0625,517900
2001-05-17,220000,221500,217000,221500,194292.9375,482100
2001-05-18,219000,221000,217000,220500,193415.7656,378300
2001-05-21,225000,231000,221500,229000,200871.7031,563200
2001-05-22,236000,239000,231000,231000,202626.0625,976600
2001-05-23,230000,238000,229000,235000,206134.7656,437800
2001-05-24,228000,230000,225500,226500,198678.7969,605500
2001-05-25,227500,232500,221500,222000,194731.5313,673900
2001-05-28,221000,224000,219000,222500,195170.125,369600
2001-05-29,221500,232000,221500,232000,203503.2188,485600
2001-05-30,225000,226500,222500,223500,196047.2656,636300
2001-05-31,216000,217000,209500,212000,185959.8594,1271900
2001-06-01,215000,215000,210500,212000,185959.8594,586300
2001-06-04,213000,215500,211500,212000,185959.8594,399100
2001-06-05,207000,212000,202000,203000,178065.3281,1030400
2001-06-07,204000,215500,204000,214000,187714.1719,797300
2001-06-08,221000,225500,220000,223500,196047.2656,854800
2001-06-11,216500,219000,214000,214000,187714.1719,493600
2001-06-12,211000,215000,210500,211000,185082.6875,483900
2001-06-13,215000,215500,210000,214000,187714.1719,472900
2001-06-14,213500,215500,210000,211500,185521.25,556800
2001-06-15,209500,210000,206000,209500,183766.9063,817400
2001-06-18,209000,209000,204000,205000,179819.6563,681900
2001-06-19,205000,208500,204000,205500,180258.25,625500
2001-06-20,203000,203500,199500,200000,175433.8438,770300
2001-06-21,200000,202000,196000,198000,173679.4688,816100
2001-06-22,197000,197000,191000,193500,169732.25,893700
2001-06-25,192000,196500,190000,193500,169732.25,518500
2001-06-26,193500,195000,189000,189000,165784.9375,670000
2001-06-27,189500,190000,185000,186000,163153.4531,819700
2001-06-28,185000,189500,184500,187500,164469.1719,540800
2001-06-29,192000,192500,190000,192000,168416.4688,613500
2001-07-02,192000,194000,190500,193000,169293.6094,465600
2001-07-03,195000,195500,193500,194500,170609.3906,406100
2001-07-04,192000,197000,192000,197000,172802.2813,274100
2001-07-05,197000,197500,193000,193000,169293.6094,311000
2001-07-06,187000,188500,182500,183500,160960.5156,760400
2001-07-09,175000,177000,169500,171000,149995.9219,1632700
2001-07-10,172000,174500,169500,170000,149118.75,653300
2001-07-11,164000,170500,164000,169000,148241.5781,759400
2001-07-12,174000,178000,173000,176000,154381.7969,1327300
2001-07-13,182000,182000,168000,170000,149118.75,931200
2001-07-16,168500,169500,163000,167000,146487.25,558200
2001-07-18,168000,171000,166500,167500,146925.8281,668600
2001-07-19,166500,177000,165500,177000,155258.9531,746500
2001-07-20,176000,180000,173500,176000,154381.7969,592500
2001-07-23,175000,175000,171500,173000,151750.25,425500
2001-07-24,170000,175500,170000,173500,152188.8281,429600
2001-07-25,173000,179500,172000,178500,156574.7188,418100
2001-07-26,179500,182500,179500,181500,159206.1719,437300
2001-07-27,186500,189500,184500,185500,162714.875,576000
2001-07-30,188000,189000,184500,185500,162714.875,401100
2001-07-31,187000,190500,186000,189500,166223.6094,444600
2001-08-01,191500,199500,190500,198000,173679.4688,1157500
2001-08-02,201000,202000,194000,195500,171486.5781,635800
2001-08-03,200000,201000,197500,199500,174995.2813,655900
2001-08-06,196500,200000,195000,199000,174556.6406,322600
2001-08-07,194000,195000,190500,193000,169293.6094,441700
2001-08-08,191000,192000,187000,190000,166662.125,268100
2001-08-09,184500,186500,183000,183000,160521.9531,583400
2001-08-10,185500,189000,185500,186500,163592.0313,231600
2001-08-13,188500,191500,187500,191500,167977.9063,372800
2001-08-14,195000,198000,193500,197500,173240.9219,424400
2001-08-16,192000,195000,191000,195000,171047.9531,366600
2001-08-17,195000,198000,193500,196000,171925.125,354900
2001-08-20,190000,191500,189000,190000,166662.125,188700
2001-08-21,191000,192500,185000,186000,163153.4531,434700
2001-08-22,181500,192500,181500,192500,168855.0313,435400
2001-08-23,193500,195500,190000,192500,168855.0313,298900
2001-08-24,192000,194000,189000,192000,168416.4688,150300
2001-08-27,198000,201000,196000,199000,174556.6406,759100
2001-08-28,200000,200000,196500,197000,172802.2813,410700
