DateFrom,Close,Diff,Ratio,Volume
1,319500,-5000,0.98459168,1037200
3,309000,-10500,0.96713615,650800
1,300000,-9000,0.970873786,1229300
1,312000,12000,1.04,704800
1,313500,1500,1.004807692,946700
1,319000,5500,1.01754386,623500
3,317000,-2000,0.993730408,776600
1,324500,7500,1.023659306,392700
1,322000,-2500,0.99229584,719600
2,325500,3500,1.010869565,635000
3,333000,7500,1.023041475,463500
1,346000,13000,1.039039039,849700
1,350000,4000,1.011560694,800900
1,347500,-2500,0.992857143,792200
4,340500,-7000,0.979856115,636200
1,333000,-7500,0.977973568,676700
1,328000,-5000,0.984984985,596600
1,328000,0,1,573900
1,331000,3000,1.009146341,630600
3,340000,9000,1.027190332,576200
1,333500,-6500,0.980882353,458900
1,324000,-9500,0.971514243,672800
1,321000,-3000,0.990740741,355400
1,322000,1000,1.003115265,559400
3,323500,1500,1.004658385,440300
1,330000,6500,1.020092736,346400
1,336500,6500,1.01969697,532200
1,343000,6500,1.019316493,657700
1,331500,-11500,0.966472303,478400
3,327500,-4000,0.987933635,387700
1,342000,14500,1.044274809,673100
1,333000,-9000,0.973684211,569600
1,335000,2000,1.006006006,429900
4,321500,-13500,0.959701493,896000
1,319000,-2500,0.99222395,893000
1,307000,-12000,0.962382445,845900
1,314000,7000,1.022801303,850700
1,309500,-4500,0.98566879,616900
3,298500,-11000,0.964458805,815600
1,297500,-1000,0.996649916,691600
1,299500,2000,1.006722689,729400
2,306000,6500,1.021702838,690200
3,296000,-10000,0.967320261,443600
1,300000,4000,1.013513514,592200
1,297500,-2500,0.991666667,544900
1,273500,-24000,0.919327731,1450600
1,273500,0,1,1348400
3,288000,14500,1.053016453,966400
1,300000,12000,1.041666667,918200
1,305000,5000,1.016666667,1056400
1,307500,2500,1.008196721,1162500
1,326500,19000,1.061788618,1814400
3,324000,-2500,0.992343032,650200
1,319500,-4500,0.986111111,806700
1,328000,8500,1.026604069,935000
1,334000,6000,1.018292683,1005900
1,340000,6000,1.017964072,905700
3,361000,21000,1.061764706,1154400
1,353000,-8000,0.977839335,904900
1,338000,-15000,0.957507082,1265900
1,345000,7000,1.020710059,825600
1,341000,-4000,0.988405797,544500
3,367500,26500,1.07771261,1375900
1,361500,-6000,0.983673469,922200
1,365500,4000,1.011065007,655000
1,366500,1000,1.002735978,830900
1,359500,-7000,0.980900409,720000
3,349000,-10500,0.970792768,557100
1,346500,-2500,0.992836676,662000
1,349000,2500,1.007215007,764200
1,340000,-9000,0.974212034,632700
1,358000,18000,1.052941176,839800
3,351000,-7000,0.980446927,569200
1,352500,1500,1.004273504,416500
1,360000,7500,1.021276596,805400
1,369000,9000,1.025,1101200
1,373000,4000,1.010840108,971000
3,378500,5500,1.014745308,648400
1,378500,0,1,784500
1,380000,1500,1.003963012,478000
1,385000,5000,1.013157895,774700
1,387000,2000,1.005194805,561700
4,393000,6000,1.015503876,753200
1,373500,-19500,0.950381679,848700
1,373500,0,1,931000
1,372000,-1500,0.995983936,555800
3,372500,500,1.001344086,786000
1,364500,-8000,0.97852349,635600
1,366000,1500,1.004115226,702800
1,368000,2000,1.005464481,1152100
1,362000,-6000,0.983695652,632600
3,348500,-13500,0.962707182,1013000
1,353500,5000,1.014347202,904600
1,357500,4000,1.011315417,637500
2,358000,500,1.001398601,619200
3,348000,-10000,0.972067039,513500
1,342500,-5500,0.984195402,487400
2,339500,-3000,0.991240876,520400
1,336000,-3500,0.989690722,462700
3,314000,-22000,0.93452381,998100
3,321500,7500,1.02388535,511600
1,344000,22500,1.069984448,1110600
3,349500,5500,1.015988372,499400
1,342500,-7000,0.979971388,577900
1,340000,-2500,0.99270073,504200
1,323000,-17000,0.95,1505800
1,324000,1000,1.003095975,1252800
3,334500,10500,1.032407407,628900
1,328500,-6000,0.98206278,526400
1,324000,-4500,0.98630137,654700
1,330000,6000,1.018518519,807600
1,320500,-9500,0.971212121,488100
3,320000,-500,0.998439938,372200
1,319000,-1000,0.996875,533500
1,311500,-7500,0.976489028,653400
1,316000,4500,1.014446228,734000
1,313000,-3000,0.990506329,668900
3,299000,-14000,0.955271565,929300
1,307000,8000,1.026755853,528600
1,291500,-15500,0.949511401,930400
1,291500,0,1,701300
4,293000,1500,1.005145798,573400
1,294000,1000,1.003412969,817000
1,291000,-3000,0.989795918,428600
1,283000,-8000,0.972508591,769200
1,274000,-9000,0.96819788,973900
3,269500,-4500,0.983576642,787800
1,271500,2000,1.00742115,1041000
1,280000,8500,1.031307551,762000
1,271500,-8500,0.969642857,778700
1,273000,1500,1.005524862,634600
3,290500,17500,1.064102564,863100
1,293000,2500,1.008605852,506300
1,297000,4000,1.013651877,990900
1,302500,5500,1.018518519,668600
1,302000,-500,0.998347107,429800
3,309500,7500,1.024834437,660000
1,289500,-20000,0.935379645,949300
1,284000,-5500,0.981001727,659600
1,283500,-500,0.998239437,759000
1,279500,-4000,0.985890653,409800
3,295000,15500,1.055456172,510400
1,285000,-10000,0.966101695,508100
1,276000,-9000,0.968421053,668400
1,276000,0,1,382200
1,281000,5000,1.018115942,793700
3,286500,5500,1.019572954,584200
1,287500,1000,1.003490401,1031400
1,290000,2500,1.008695652,1011600
1,290000,0,1,1076900
1,296500,6500,1.022413793,765900
3,288000,-8500,0.971332209,770000
1,299000,11000,1.038194444,842700
1,296000,-3000,0.989966555,587100
1,311500,15500,1.052364865,1190000
1,315000,3500,1.011235955,623100
3,312500,-2500,0.992063492,830800
1,306000,-6500,0.9792,884200
1,304000,-2000,0.993464052,902800
1,298500,-5500,0.981907895,482600
1,307000,8500,1.028475712,664400
3,284000,-23000,0.925081433,928800
1,284000,0,1,994600
1,279000,-5000,0.982394366,1206900
1,279000,0,1,1184700
1,283500,4500,1.016129032,1075200
3,299000,15500,1.054673721,995700
1,299000,0,1,808500
1,286500,-12500,0.95819398,849400
1,288000,1500,1.005235602,1081400
1,285000,-3000,0.989583333,793300
